# Produced using StockPerson Data Generator (chapter 1.0)
# https://github.com/bahmanm/stockperson/
# docNo,customer,date,total,discount,lineNo,product,qty,price,lineAmt
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,1,aF1KeUz,580,78933.39,45781371.59605947560
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,2,KWrllAa,321,4125.14,1324172.502135007716
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,3,8I8yMHv,178,43559.72,7753630.456874799990
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,4,h,371,81351.35,30181352.43184163739
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,5,bvH,305,59329.61,18095532.26662958835
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,6,K,700,16056.24,11239370.129512226800
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,7,Ha,715,14478.59,10352198.01240824485
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,8,zj,547,89910.90,49181267.1820788753
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,9,ufX1GjB,259,68493.65,17739855.92575610127
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,10,gcVT,656,33077.22,21698659.63405667296
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,11,CnqBsOs,838,80862.90,67763112.10098586290
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,12,xkC3OU,782,35714.31,27928591.75370120332
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,13,mZ8Hry,461,22433.27,10341738.835911899557
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,14,tF3,430,64368.74,27678558.516596282750
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,15,SQJr72V,90,12775.10,1149759.177252918750
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,16,BbqIf,248,43662.68,10828345.766855794520
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,17,sYv,821,61934.29,50848058.565031211204
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,18,naDATO,681,4225.10,2877298.8489086229825
QIjWQ7,BOyUMON,2023-11-22,403388202.50,9.25,19,f5NcwGc,698,45538.05,31785563.02716040050
VEyrc8,BOyUMON,2023-02-10,305069161.47,21.22,1,X5,422,23680.25,9993068.8782985074
VEyrc8,BOyUMON,2023-02-10,305069161.47,21.22,2,Ah00,924,74651.64,68978119.97864498172
VEyrc8,BOyUMON,2023-02-10,305069161.47,21.22,3,SDbFE6N,16,83396.60,1334345.71508916368
VEyrc8,BOyUMON,2023-02-10,305069161.47,21.22,4,Ffie,304,65285.33,19846741.29362568528
VEyrc8,BOyUMON,2023-02-10,305069161.47,21.22,5,6qV,36,67349.86,2424595.03543052460
VEyrc8,BOyUMON,2023-02-10,305069161.47,21.22,6,a5tqbn,2,83539.85,167079.71260152832
