# Produced using StockPerson Data Generator (chapter 1.0)
# https://github.com/bahmanm/stockperson/
# docNo,customer,date,total,discount,lineNo,product,qty,price,lineAmt
MASwTD,zihMsYmQw,2021-10-21,251914302.28,26.16,1,n,882,97257.73,85781323.57722749388
MASwTD,zihMsYmQw,2021-10-21,251914302.28,26.16,2,H14JE,128,62707.59,8026571.87074628480
MASwTD,zihMsYmQw,2021-10-21,251914302.28,26.16,3,6rki,840,61709.80,51836234.35486427400
MASwTD,zihMsYmQw,2021-10-21,251914302.28,26.16,4,ShoJIV,10,82519.81,825198.18885819520
MASwTD,zihMsYmQw,2021-10-21,251914302.28,26.16,5,p5cvij2,626,9212.56,5767064.310870428868
MASwTD,zihMsYmQw,2021-10-21,251914302.28,26.16,6,9HluSu,50,76600.48,3830024.37132703650
MASwTD,zihMsYmQw,2021-10-21,251914302.28,26.16,7,FbaWx1,295,29367.41,8663387.923342032965
MASwTD,zihMsYmQw,2021-10-21,251914302.28,26.16,8,P,857,15202.66,13028679.899893043669
MASwTD,zihMsYmQw,2021-10-21,251914302.28,26.16,9,qs6su,511,79154.76,40448086.59962547855
MASwTD,zihMsYmQw,2021-10-21,251914302.28,26.16,10,Qybj7,352,95298.92,33545220.63497990528
MASwTD,zihMsYmQw,2021-10-21,251914302.28,26.16,11,5FhC,88,47733.23,4200524.45405926872
MASwTD,zihMsYmQw,2021-10-21,251914302.28,26.16,12,wH,522,47310.70,24696187.85280905424
MASwTD,zihMsYmQw,2021-10-21,251914302.28,26.16,13,Sg0rjA,975,62100.81,60548289.88512732675
Nf3Utq,mtMvN,2022-09-27,297438204.94,29.23,1,ULZnd,813,80720.11,65625454.33489860906
Nf3Utq,mtMvN,2022-09-27,297438204.94,29.23,2,V,242,32203.21,7793177.13415541696
Nf3Utq,mtMvN,2022-09-27,297438204.94,29.23,3,JxH,876,43258.95,37894848.16849919652
Nf3Utq,mtMvN,2022-09-27,297438204.94,29.23,4,nQiCtSa,163,52362.85,8535145.38913138227
Nf3Utq,mtMvN,2022-09-27,297438204.94,29.23,5,hE,201,2888.88,580665.042160801758
Nf3Utq,mtMvN,2022-09-27,297438204.94,29.23,6,GsvdNVi,48,94065.90,4515163.4940045744
Nf3Utq,mtMvN,2022-09-27,297438204.94,29.23,7,df,208,63390.09,13185138.9484904544
