# Produced using StockPerson Data Generator (chapter 1.0)
# https://github.com/bahmanm/stockperson/
# docNo,customer,date,total,discount,lineNo,product,qty,price,lineAmt
OfHoHJ,wGKpRbFEw,2021-09-27,155226990.88,40.91,1,XiiI,163,53161.86,8665383.770409101338
OfHoHJ,wGKpRbFEw,2021-09-27,155226990.88,40.91,2,T3bURkh,721,38689.21,27894922.033248585
OfHoHJ,wGKpRbFEw,2021-09-27,155226990.88,40.91,3,fk5k,647,23849.55,15430664.58377799477
OfHoHJ,wGKpRbFEw,2021-09-27,155226990.88,40.91,4,bk,686,40231.58,27598865.38076651494
OfHoHJ,wGKpRbFEw,2021-09-27,155226990.88,40.91,5,j,615,35137.19,21609376.716862089810
OfHoHJ,wGKpRbFEw,2021-09-27,155226990.88,40.91,6,Ox,498,87156.81,43404094.77174760368
OfHoHJ,wGKpRbFEw,2021-09-27,155226990.88,40.91,7,l,6,43869.83,263219.010750107250
OfHoHJ,wGKpRbFEw,2021-09-27,155226990.88,40.91,8,J,164,53992.93,8854841.79181631984
OfHoHJ,wGKpRbFEw,2021-09-27,155226990.88,40.91,9,0A,336,58986.64,19819513.03769704176
OfHoHJ,wGKpRbFEw,2021-09-27,155226990.88,40.91,10,K,890,12562.64,11180754.900572553220
OfHoHJ,wGKpRbFEw,2021-09-27,155226990.88,40.91,11,S5AbB,95,81774.07,7768537.24353914845
OfHoHJ,wGKpRbFEw,2021-09-27,155226990.88,40.91,12,Wkgw,446,97763.37,43602466.17990213256
OfHoHJ,wGKpRbFEw,2021-09-27,155226990.88,40.91,13,6xKWb,263,41135.30,10818586.06334201026
OfHoHJ,wGKpRbFEw,2021-09-27,155226990.88,40.91,14,A,418,37846.32,15819762.639160470870
vGCpjg,LAHJLuidD,2022-08-13,171984335.43,45.96,1,nWDR,645,33880.36,21852836.06081105910
vGCpjg,LAHJLuidD,2022-08-13,171984335.43,45.96,2,RLlXz,349,74176.46,25887586.39788946997
vGCpjg,LAHJLuidD,2022-08-13,171984335.43,45.96,3,8zUWTMJ,643,28189.76,18126017.762400525432
vGCpjg,LAHJLuidD,2022-08-13,171984335.43,45.96,4,iwr,176,53068.47,9340051.514729811744
vGCpjg,LAHJLuidD,2022-08-13,171984335.43,45.96,5,B0X,480,24199.44,11615735.781646734240
vGCpjg,LAHJLuidD,2022-08-13,171984335.43,45.96,6,WToeCK,606,9799.58,5938550.652180034512
vGCpjg,LAHJLuidD,2022-08-13,171984335.43,45.96,7,kxhbt3d,661,91905.80,60749738.11246749938
vGCpjg,LAHJLuidD,2022-08-13,171984335.43,45.96,8,n,735,31266.98,22981233.34325454930
vGCpjg,LAHJLuidD,2022-08-13,171984335.43,45.96,9,unjs,328,93907.96,30801813.65003240928
