# Produced using StockPerson Data Generator (chapter 1.0)
# https://github.com/bahmanm/stockperson/
# docNo,customer,date,total,discount,lineNo,product,qty,price,lineAmt
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,1,Pt0m,204,11256.40,2296306.646965657992
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,2,vZsAqo,884,79544.51,70317347.624642820
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,3,Ca9RV,543,41777.22,22685030.48246254707
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,4,Owe2Ub,377,47583.33,17938916.89506400991
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,5,JUciZ8g,129,7342.82,947223.795347528223
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,6,pQSyKZ,657,89270.45,58650689.22244585704
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,7,WL,9,20121.23,181091.154807610137
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,8,VSIqBG,396,95587.94,37852828.03541929140
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,9,Zb2,383,58147.86,22270632.71736729844
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,10,lV,152,70552.58,10723992.1971401512
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,11,zJCbw,609,16070.33,9786833.058268444416
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,12,8jrFZw,166,31675.98,5258213.668442907270
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,13,Pf,484,14725.67,7127224.441564493024
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,14,RD,760,20389.89,15496323.729800256720
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,15,ON7GbQN,936,18570.08,17381600.670473131248
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,16,OoF,355,75768.08,26897671.50754538080
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,17,ZhkdN3,420,32794.54,13773710.65462192920
7nxH9G,KIJiShfFD,2023-05-21,332851673.84,5.08,18,e1hI,498,22303.05,11106923.556684209988
PpUIv2,PUZkCMdGx,2023-06-12,29573052.58,61.12,1,Btf1,487,41732.73,20323842.50257226575
PpUIv2,PUZkCMdGx,2023-06-12,29573052.58,61.12,2,D9B,950,58679.80,55745816.397146692800
23nhwV,WSVYb,2022-01-20,211253653.30,22.66,1,JzF,611,90718.31,55428891.46522861107
